0 4.000000e-01 +5.16581071e+00
20 4.000000e-01 +2.51974105e-04
40 4.000000e-01 -8.94082027e-05
60 4.000000e-01 -2.77599384e-05
80 4.000000e-01 -7.14781067e-06
100 4.000000e-01 -1.80190265e-06
120 4.000000e-01 -4.51311230e-07
140 4.000000e-01 -1.25268504e-07
160 4.000000e-01 -5.54101630e-08
180 4.000000e-01 -4.26765027e-08
200 4.000000e-01 -3.90126792e-08
220 4.000000e-01 -3.51235538e-08
240 4.000000e-01 -3.04108096e-08
260 4.000000e-01 -2.55538679e-08
280 4.000000e-01 -2.10472726e-08
300 4.000000e-01 -1.71028618e-08
320 4.000000e-01 -1.37630454e-08
340 4.000000e-01 -1.09916160e-08
360 4.000000e-01 -8.72283770e-09
380 4.000000e-01 -6.88431674e-09
400 4.000000e-01 -5.40675258e-09
420 4.000000e-01 -4.22770992e-09
440 4.000000e-01 -3.29277219e-09
460 4.000000e-01 -2.55553385e-09
480 4.000000e-01 -1.97707216e-09
500 4.000000e-01 -1.52518401e-09
520 4.000000e-01 -1.17353896e-09
540 4.000000e-01 -9.00827664e-10
560 4.000000e-01 -6.89959227e-10
580 4.000000e-01 -5.27332562e-10
600 4.000000e-01 -4.02197047e-10
620 4.000000e-01 -3.06104621e-10
640 4.000000e-01 -2.32449295e-10
660 4.000000e-01 -1.76087507e-10
680 4.000000e-01 -1.33028385e-10
700 4.000000e-01 -1.00184842e-10
720 4.000000e-01 -7.51745393e-11
740 4.000000e-01 -5.61629697e-11
760 4.000000e-01 -4.17396621e-11
780 4.000000e-01 -3.08217870e-11
800 4.000000e-01 -2.25789595e-11
820 4.000000e-01 -1.63749609e-11
840 4.000000e-01 -1.17227914e-11
860 4.000000e-01 -8.24993409e-12
880 4.000000e-01 -5.67166234e-12
900 4.000000e-01 -3.77052379e-12
920 4.000000e-01 -2.38058175e-12
940 4.000000e-01 -1.37533616e-12
960 4.000000e-01 -6.58481392e-13
980 4.000000e-01 -1.56799135e-13
1000 4.000000e-01 +1.85285301e-13
